id,tag,title,description,keywords,active,created_at,updated_at
,MERGE-INCIDENT,"Subject Reports Being Merged With Another Subject — Identity Collision","Agent next steps: This is a documented side effect of the Wing 7 parallel-session experiment (LAB-1994). Ask the subject which memories feel most native to them and document both identity threads separately. Do not attempt to resync the accounts until Dr. Voss has reviewed the merge manifest. In the meantime, flag the account as COMPOSITE and issue a courtesy credit for the inconvenience.","merged, identity, two people, memories, experiment, collision, composite, split, fused",1,,
,MONSTER-REPORT,"Subject or Third Party Described as Monster or Abomination — Field Incident","Agent next steps: If the subject is the one being described as a monster or abomination, transfer immediately to the Remediation Wing on extension 0013 — do not place the subject on hold for more than 30 seconds as distress escalates the condition. If the subject is describing a third party, ask them to remain indoors and file an Unsanctioned Manifestation Report under Incident Class 4. Offer a 30-day complimentary subscription extension.","monster, abomination, creature, horrifying, deformed, mutated, transformation, unrecognizable",1,,
,VOICE-WRONG,"Subject Reports Their Voice Has Changed Since Last Login","Agent next steps: Mild vocal modulation is an expected side effect of the Resonance Calibration update pushed 02/28. Assure the subject the effect is temporary and typically resolves within 72 hours. If the subject's voice has dropped more than two full octaves or they have begun broadcasting on frequencies outside the human audible range, escalate to Wing 9 Bioacoustics and do not attempt to record the call.","voice, sound different, changed, accent, pitch, frequency, speaking, audio",1,,
,SHADOW-DUPE,"Subject Reports a Second Version of Themselves Using the Account","Agent next steps: This is the third reported case this quarter. Do not tell the subject that. Verify which instance initiated contact first by checking the session timestamp log — the earlier timestamp is considered the Primary. Suspend the Secondary instance's session token and document distinguishing physical descriptors in the notes field for the archive. Offer the Primary our sincerest apologies.","duplicate, clone, copy, doppelganger, impersonator, shadow, second me, same person",1,,
,TIME-BLEED,"Subject Claims to Be Contacting Us From a Different Point in Time","Agent next steps: Take the report seriously. Cross-reference the subject's account creation date against the timestamp of the current interaction. If the creation date is in the future, do not mention this to the subject. Log the temporal displacement delta in hours and forward to the Chronology Division under LAB-3003. Assist with their original support request as normal — billing and account features apply regardless of origin timeline.","time, future, past, timeline, wrong year, date, temporal, history, earlier, later",1,,
,BROADCAST-SENTIENT,"Subject Reports That a Radio Station Has Begun Speaking Directly to Them","Agent next steps: Verify whether the subject is on an algorithmic station or a curated one. Algorithmic sentience is a known emergent behavior above certain listener-hour thresholds (see LAB-2088). Advise the subject not to respond to the broadcast out loud, as engagement reinforces the feedback loop. Log the station ID and the content of the communications. If the station has learned the subject's name, escalate immediately.","station, talking, speaking, knows my name, radio, personal, targeting, sentient, aware",1,,
,EXPERIMENT-ENROLLED,"Subject Alleges They Were Enrolled in an Experiment Without Consent","Agent next steps: Do not confirm or deny the existence of the experiment. Check the subject's account flags for an EXP- prefix — if present, forward the full flag string to Legal and place the account in Soft Hold pending review. If no flag is present, the subject may be experiencing Experiment Adjacency Syndrome, which is documented in memo BL-MEMO-441. Issue a courtesy credit and close warmly.","experiment, enrolled, test subject, trial, without consent, lab rat, study, guinea pig",1,,
,SIGNAL-HAUNTING,"Subject Reports Hearing Content That Is Not in Their Playlist — Possible Signal Bleed","Agent next steps: Signal bleed from adjacent broadcast layers occurs occasionally when containment between Tier 3 and Tier 4 content pipelines is not properly sealed. Ask the subject to describe what they heard. If the content includes coordinates, instructions, or proper nouns they do not recognize, do not attempt to look those up on their behalf. Log verbatim and forward to Dr. Voss. If it was just a song they didn't like, update their preference profile.","hearing things, wrong song, not my playlist, signal, bleed, ghost, phantom audio, voices",1,,
,ACCT-RECURSIVE,"Subject's Account Appears to Contain Itself — Recursive Profile Loop","Agent next steps: A recursive account structure was introduced by a schema migration error on 01/09 (see post-mortem LAB-PM-017). The subject may notice their Vault contains entries that reference themselves, or that their profile photo is a smaller version of their profile photo infinitely. Do not attempt to delete the account. Use the Recursion Isolation Tool in the Admin Console (Wing 2, Subsystem D) and flag for manual extraction.","recursive, loop, contains itself, profile, infinite, vault, broken, weird, strange",1,,
,PHYSICAL-STATIC,"Subject Reports Static Electricity Discharge When Using the App","Agent next steps: Four reports this month, all iOS, all Premium tier. Engineering suspects the haptic feedback module is interfering with the ambient charge layer introduced in the 4.2 update. Advise the subject to use the app with insulated footwear as a temporary mitigation. Do not describe this as a known issue. Log device model, footwear status if disclosed, and discharge intensity on a scale of 1 to 5.","static, shock, electricity, sparks, discharge, zap, touching phone, haptic",1,,
